7zip 24.09-3
libblockdev-fs 3.3.1-1
libblockdev-loop 3.3.1-1
libblockdev-mdraid 3.3.1-1
libblockdev-nvme 3.3.1-1
libblockdev-part 3.3.1-1
libblockdev-smart 3.3.1-1
libblockdev-swap 3.3.1-1
libbluray 1.3.4-3
libbpf 1.5.1-1
libbs2b 3.1.0-9
libbsd 0.12.2-2
libburn 1.5.6-1
libbytesize 2.11-1
libc++ 20.1.6-1
libc++abi 20.1.6-1
libcaca 0.99.beta20-5
libcacard 2.8.1-1
libcamera 0.5.1-2
libcamera-ipa 0.5.1-2
libcanberra 1:0.30+r2+gc0620e4-4
libcap 2.76-1
libcap-ng 0.8.5-3
libcbor 0.12.0-1
libcdio 2.2.0-1
libcdio-paranoia 10.2+2.0.2-1
libcdr 0.1.8-2
libcec 7.0.0-2
libcerf 1:3.0-1
libcheese 44.1-3
libcloudproviders 0.3.6-2
libcmis 0.6.2-5
libcolord 1.4.8-1
libcpuid 0.8.0-1
libcss 0.9.2-1
libcue 2.3.0-1
libcups 2:2.4.12-2
libcupsfilters 2.1.1-2
libcurl-compat 8.14.1-1
libcurl-gnutls 8.14.1-1
libdaemon 0.14-6
libdatachannel 0.22.6-1
libdatrie 0.2.13-4
libdbi 0.9.0-6
libdbusmenu-glib 16.04.0.r498-2
libdbusmenu-gtk2 16.04.0.r498-2
libdbusmenu-gtk3 16.04.0.r498-2
libdbusmenu-qt5 0.9.3+16.04.20160218-7
libdc1394 2.2.7-1
libdca 0.0.7-2
libde265 1.0.16-1
libdecor 0.2.3-1
libdeflate 1.23-1
libdispatch 6.1-1
libdisplay-info 0.2.0-2
libdmapsharing 3.9.13-1
libdmtx 0.7.8-1
libdom 0.4.2-1
libdovi 3.3.1-1
libdrm 2.4.125-1
libdv 1.0.0-11
libdvbpsi 1:1.3.3-3
libdvdcss 1.4.3-2
libdvdnav 6.1.1-2
libdvdread 6.1.3-2
libe-book 0.1.3-18
libebml 1.4.5-1
libebur128 1.2.6-2
libedit 20250104_3.1-1
libei 1.4.1-1
libelf 0.193-2
libepoxy 1.5.10-3
libepubgen 0.1.1-5
libetonyek 0.1.12-3
libev 4.33-3
libevdev 1.13.4-1
libevent 2.1.12-4
libexif 0.6.25-1
libexttextcat 3.4.7-1
libfabric 2.2.0-1
libfakekey 0.3-3
libfdk-aac 2.0.3-1
libffi 3.5.1-1
libfido2 1.16.0-2
libfontenc 1.1.8-1
libfreeaptx 0.2.2-1
libfreehand 0.1.2-5
libftdi 1.5-7
libgbinder 1.1.42-1
libgcrypt 1.11.1-1
libgcrypt15 1.5.6-6
libgdata 0.18.1-4
libgdiplus 6.2-1
libgee 0.20.8-1
libgexiv2 0.14.6-1
libgig 4.4.1-1
libgirepository 1.84.0-2
libgit2 1:1.9.1-1
libgksu 2.0.12-9.3
libglibutil 1.0.80-1
libglvnd 1.7.0-3
libgme 0.6.4-1
libgnome-keyring 1:3.12.0+r14+g23438cc-1
libgnomekbd 1:3.28.1-1
libgoa 3.54.4-1
libgoom2 2k4-5
libgpg-error 1.55-1
libgphoto2 2.5.32-1
libgsf 1.14.53-2
libgtop 2.41.3-2
libgudev 238-3
libgusb 0.4.9-2
libgxps 0.3.2-5
libhandy 1.8.3-2
libheif 1.20.1-1
libhubbub 0.3.8-1
libibus 1.5.32-1
libical 3.0.20-2
libice 1.1.2-1
libid3tag 0.16.3-2
libidn 1.43-1
libidn11 1.33-2
libidn2 2.3.7-1
libiec61883 1.2.0-8
libimagequant 4.3.4-1
libimobiledevice 1.3.0-16
libimobiledevice-glue 1.3.2-1
libindi 2.1.4-1
libindicator-gtk2 12.10.1-10
libinih 58-1
libinput 1.28.1-1
libinstpatch 1.1.7-2
libiptcdata 1.0.5-4
libirecovery 1.2.1-1
libirecovery-1.0-3 1.1.0-2
libiscsi 1.20.0-2
libisl 0.27-1
libisoburn 1.5.6-1
libisofs 1.5.6-1
libixion 0.20.0-2
libjcat 0.2.3-2
libjpeg-turbo 3.1.1-1
libjpeg6-turbo 1.5.3-2
libjuice 1.6.0-1
libjxl 0.11.1-4
libkate 0.4.1-11
libkcddb 25.04.3-1
libkcompactdisc 25.04.3-1
libkdcraw 25.04.3-1
libkdcraw5 25.04.3-1
libkexiv2 25.04.3-1
libkgapi 25.04.3-1
libkleo 25.04.3-1
libksba 1.6.7-2
libkscreen 6.4.2-1
libksysguard 6.4.2-1
liblangtag 0.6.7-2
liblc3 1.1.3-1
libldac 2.0.2.3-2
libldap 2.6.10-1
liblo 1:0.32-1
liblouis 3.34.0-1
liblphobos 3:1.41.0-1
liblqr 0.4.3-1
liblrdf 0.6.1-5
libltc 1.3.2-2
libluv 1.48.0_2-1
liblzf 3.6-5
libmad 0.15.1b-10
libmanette 0.2.12-1
libmatroska 1.7.1-2
libmaxminddb 1.12.2-2
libmbim 1.32.0-1
libmd 1.1.0-2
libmediaart 1.9.7-1
libmediainfo 25.04-3
libmfx 23.2.2-4
libmgba 0.10.5-1
libmicrodns 0.2.0-2
libmikmod 3.3.13-1
libmm-glib 1.24.0-2
libmms 0.6.4-5
libmng 2.0.3-4
libmnl 1.0.5-2
libmodplug 0.8.9.0-6
libmp4v2 1:2.1.3-2
libmpc 1.3.1-2
libmpcdec 1:0.1+r475-6
libmpeg2 0.5.1-10
libmspack 1:1.11-1
libmspub 0.1.4-17
libmtp 1.1.22-1
libmusicbrainz5 5.1.0-9
libmwaw 0.3.22-3
libmypaint 1.6.1-2
libmysofa 1.3.3-1
libnatpmp 20230423-3
libnautilus-extension 48.3-1
libnbd 1.22.1-2
libndp 1.9-1
libnet 2:1.3-1
libnetfilter_conntrack 1.0.9-2
libnewt 0.52.25-1
libnfnetlink 1.0.2-2
libnfs 6.0.2-5
libnftnl 1.2.9-1
libnghttp2 1.66.0-1
libnghttp3 1.10.1-1
libnice 0.1.22-2
libnih 1.0.3-4
libnl 3.11.0-1
libnm 1.52.1-1
libnma 1.10.6-3
libnma-common 1.10.6-3
libnma-gtk4 1.10.6-3
libnotify 0.8.6-1
libnova 0.15.0-4
libnsl 2.0.1-1
libnumbertext 1.0.11-2
libnvme 1.14-1
liboauth 1:1.0.3+r16+gc26f038-2
libodfgen 0.1.8-4
libofx 0.10.9-2
libogg 1.3.5-2
libopenmpt 0.8.1-1
liborcus 0.20.1-1
libosinfo 1.12.0-2
libp11-kit 0.25.5-1
libpagemaker 0.0.4-4
libpaper 2.2.6-1
libparserutils 0.2.5-1
libpcap 1.10.5-3
libpciaccess 0.18.1-2
libpgm 5.3.128-3
libphobos 1:2.111.0-1
libpipewire 1:1.4.6-1
libplacebo 7.351.0-1
libplasma 6.4.2-1
libplist 2.7.0-1
libpng 1.6.50-1
libpng12 1.2.59-2
libportal 0.9.1-2
libportal-gtk3 0.9.1-2
libportal-gtk4 0.9.1-2
libppd 2.1.1-1
libproxy 0.5.10-1
libpsl 0.21.5-2
libpulse 17.0+r43+g3e2bb8a1e-1
libpwquality 1.4.5-6
libqaccessibilityclient-qt6 0.6.0-1
libqalculate 5.6.0-1
libqmi 1.36.0-1
libqrtr-glib 1.2.2-4
libqxp 0.0.2-13
libraqm 0.10.2-1
libraw 0.21.4-1
libraw1394 2.1.2-4
libreoffice-fresh 25.2.4-3
libreoffice-fresh-zh-cn 25.2.4-1
librest 0.9.1-3
librevenge 0.0.5-3
librime 1:1.12.0-4
librime-data 0.0.0.20230922-1
librsvg 2:2.60.0-2
librtmp0 2.4-6
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libsbsms 2.3.0-5
libseccomp 2.5.6-1
libsecret 0.21.7-1
libshout 1:2.4.6-5
libsigc++ 2.12.1-1
libsigc++-3.0 3.6.0-1
libsigsegv 2.15-1
libsixel 1.10.5-1
libslirp 4.9.1-1
libsm 1.2.6-1
libsndfile 1.2.2-3
libsodium 1.0.20-1
libsonic 0.2.0-2
libsoup 2.74.3-3
libsoup3 3.6.5-1
libsoxr 0.1.3-4
libspectre 0.2.12-2
libspectrum 1.5.0-1
libspeechd 0.12.1-1
libspiro 1:20240903-1
libspng 0.7.4-2
libsrtp 1:2.7.0-1
libssh 0.11.2-1
libssh2 1.11.1-1
libstaroffice 0.0.7-4
libstemmer 3.0.1-1
libsynctex 2025.2-1
libsysprof-capture 48.0-5
libtar 1.2.20-7
libtasn1 4.20.0-1
libteam 1.32-2
libthai 0.1.29-3
libtheora 1.2.0-1
libtiff 4.7.0-1
libtiff4 3.9.7-6
libtiger 0.3.4-8
libtirpc 1.3.6-2
libtommath 1.3.0-1
libtool 2.5.4+r23+g5b582aed-1
libtorrent-rasterbar 1:2.0.11-4
libtpms 0.10.1-1
libtraceevent 1:1.8.4-1
libtracefs 1.8.2-1
libtvcontrol 0.0.1-3
libudev0-shim 2-1
libuhd 4.8.0.0-7
libunibreak 6.1-1
libunistring 1.3-1
libunwind 1.8.2-1
libupnp 1.14.24-1
liburcu 0.15.3-1
liburing 2.11-1
libusb 1.0.29-1
libusb-compat 0.1.8-2
libusbmuxd 2.1.1-1
libutempter 1.2.3-1
libutf8proc 2.10.0-1
libuv 1.51.0-1
libva 2.22.0-1
libva-utils 2.22.0-1
libvdpau 1.5-3
libverto 0.3.2-5
libvirt 1:11.5.0-1
libvirt-dbus 1.4.1-4
libvirt-glib 5.0.0-3
libvirt-python 1:11.5.0-1
libvirt-storage-gluster 1:11.5.0-1
libvirt-storage-iscsi-direct 1:11.5.0-1
libvisio 0.1.8-3
libvlc 3.0.21-26
libvlc-luajit 3.0.21-22
libvncserver 0.9.14-4
libvorbis 1.3.7-4
libvpl 2.15.0-1
libvpx 1.15.0-1
libvpx1.3 1.3.0-3
libvterm 0.3.3-2
libwacom 2.16.1-1
libwapcaplet 0.4.3-3
libwbclient 2:4.22.3-1
libwebp 1.6.0-1
libwireplumber 0.5.10-1
libwmf 0.2.13-4
libwpd 0.10.3-5
libwpg 0.3.4-2
libwps 0.4.14-3
libx11 1.8.12-1
libxau 1.0.12-1
libxaw 1.0.16-1
libxcb 1.17.0-1
libxcomp 3.5.99.27-3
libxcomposite 0.4.6-2
libxcrypt 4.4.38-1
libxcrypt-compat 4.4.38-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.6-2
libxdmcp 1.1.5-1
libxdp 1.5.5-1
libxext 1.3.6-1
libxfixes 6.0.1-2
libxfont2 2.0.7-1
libxft 2.3.9-1
libxi 1.8.2-1
libxinerama 1.1.5-2
libxisf 0.2.13-1
libxkbcommon 1.10.0-1
libxkbcommon-x11 1.10.0-1
libxkbfile 1.1.3-1
libxklavier 5.4-6
libxml++2.6 2.42.3-2
libxml2 2.14.4-2
libxml2-legacy 2.13.8-1
libxmlb 0.3.22-1
libxmp 4.6.3-1
libxmu 1.2.1-1
libxnvctrl-535xx 535.216.01-1
libxpm 3.5.17-2
libxpresent 1.0.1-2
libxrandr 1.5.4-1
libxrender 0.9.12-1
libxres 1.2.2-2
libxshmfence 1.3.3-1
libxslt 1.1.43-2
libxss 1.2.4-2
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.6-1
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
libzen 0.4.41-2
libzip 1.11.4-1
libzmf 0.0.2-17
licenses 20240728-1
lilv 0.24.26-1
linux-api-headers 6.15-1
linux-firmware 20250708-1
linux-firmware-amdgpu 20250708-1
linux-firmware-atheros 20250708-1
linux-firmware-broadcom 20250708-1
linux-firmware-cirrus 20250708-1
linux-firmware-intel 20250708-1
linux-firmware-mediatek 20250708-1
linux-firmware-nvidia 20250708-1
linux-firmware-other 20250708-1
linux-firmware-radeon 20250708-1
linux-firmware-realtek 20250708-1
linux-firmware-whence 20250708-1
linux-steam-integration 0.7.3-10
linux-wifi-hotspot 1:4.7.2-1
linux-zen 6.14.10.zen1-1
linux-zen-headers 6.14.10.zen1-1
lirc 1:0.10.2-5
live-media 2025.05.24-1
lksctp-tools 1.0.21-1
lld 20.1.7-1
llhttp 9.2.1-2
llvm-libs 20.1.7-1
lm_sensors 1:3.6.2-1
lmdb 0.9.33-1
lmms 1.2.2-24
localsearch 3.9.0-3
logrotate 3.22.0-1
lpsolve 5.5.2.11-3
lsb-release 2.0.r55.a25a4fc-1
lsof 4.99.5-1
lsp-plugins-lv2 1.2.22-1
lttng-ust2.12 2.12.10-1
lua 5.4.8-2
lua-alt-getopt 0.8.0-2
lua-filesystem 1.8.0-5
lua51 5.1.5-13
lua51-lpeg 1.1.0-3
lua51-socket 1:3.1.0-1
lua53 5.3.6-4
luajit 2.1.1748459687-1
lunar-client 3.4.3-1
lutris-git 0.5.19.r183.g96779137f-1
lv2 1.18.10-1
lvm2 2.03.33-1
lxc 1:6.0.4-2
lxcfs 6.0.4-1
lynx 2.9.2-2
lz4 1:1.10.0-2
lzo 2.10-5
lzop 1.04-4
m4 1.4.20-1
mailcap 2.1.54-2
make 4.4.1-2
mangohud 0.8.1-1
mariadb 11.8.2-1
mariadb-clients 11.8.2-1
mariadb-libs 11.8.2-1
marisa 0.2.6-18
markdownpart 25.04.3-1
marksman 20241218-1
mbedtls 3.6.3-1
mbedtls2 2.28.10-1
md4c 0.5.2-1
mda.lv2 1.2.10-2
mdadm 4.4-1
media-player-info 26-1
mediainfo 25.04-1
memstrack 0.2.2-1
mercurial 7.0.2-1
mesa 1:25.1.5-1
mesa-demos 9.0.0-7
mesa-utils 9.0.0-7
meson 1.8.2-2
mgba-qt 0.10.5-1
mgba-sdl 0.10.5-1
microsoft-edge-beta-bin 139.0.3405.21-1
mihomo-git alpha.20250710.3361.fb464bbd-1
milou 6.4.2-1
mimetreeparser 25.04.3-1
mindustry 1:7.0.146-1
miniupnpc 2.3.3-1
minizip 1:1.3.1-2
minizip-ng 4.0.10-1
misans 4.003-2
misans-fontconfig 4.003-2
mission-center 1.0.2-1
mitmproxy 12.1.1-1
mjpegtools 2.2.1-2
mkdocs 1.6.1-2
mkdocs-get-deps 0.2.0-2
mkdocs-material 9.6.15-1
mkinitcpio 39.2-3
mkinitcpio-busybox 1.36.1-1
mlt 7.32.0-2
mobile-broadband-provider-info 20250613-1
modemmanager 1.24.0-2
modemmanager-qt 6.16.0-1
monero 0.18.4.0-3
monero-gui 0.18.4.0-2
mono 6.12.0.206-1
mosh 1.4.0-24
mpdecimal 4.0.1-1
mpfr 4.2.2-1
mpg123 1.33.0-1
mpv 1:0.40.0-3
mpv-mpris 1.1-3
msedit 1.2.0-2
msgpack-c 6.1.0-2
mtdev 1.1.7-1
mtools 1:4.0.49-1
mtr 0.95-6
mujs 1.3.7-1
multipath-tools 0.11.0-1
musl 1.2.5-6
mypaint-brushes1 1.3.1-2
nano 8.5-1
nautilus 48.3-1
navi 2.24.0-1
nbtexplorer 2.8.0-3
ncdu 2.8.2-3
ncompress 5.0-3
ncurses 6.5-4
ncurses5-compat-libs 6.5-2
ndctl 79-1
nekoray-git 4.3.7.r14.gf4f9ea8-1
neon 0.34.2-1
neovim 0.11.3-1
nerdfix 0.4.2-1
net-tools 2.10-3
netease-cloud-music-gtk4 2.5.0-1
nethack 3.6.7-6
netpbm 10.86.47-1
nettle 3.10.2-1
networkmanager 1.52.1-1
networkmanager-openconnect 1.2.10-3
networkmanager-openvpn 1.12.0-1
networkmanager-qt 6.16.0-1
nexttrace 1.4.0-1
nfsidmap 2.8.3-2
nftables 1:1.1.3-1
nilfs-utils 2.2.11-1
ninja 1.12.1-2
nmap 7.97-1
nnn 5.1-1
node-gyp 11.2.0-1
nodejs-lts-iron 20.19.3-1
nodejs-nopt 7.2.1-1
noto-color-emoji-fontconfig 1.0.0-2
noto-fonts 1:2025.07.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.048-1
noto-fonts-emoji-blob 1:15.0-1
noto-fonts-extra 1:2025.07.01-1
npm 11.4.2-1
npm-check-updates 18.0.1-1
npth 1.8-1
nspr 4.36-1
nss 3.113.1-1
nss-mdns 0.15.1-2
ntfs-3g 2022.10.3-2
numactl 2.0.19-1
nushell 0.105.1-1
nvclock 0.8b4-4
nvidia-535xx-dkms 535.247.01-1
nvidia-535xx-utils 535.247.01-1
nvidia-prime 1.0-5
nvidia-vaapi-driver-git 0.0.14.r3.g677f480-1
nvtop 3.2.0-1
nx-x11 3.5.99.27-3
nxagent 3.5.99.27-3
oath-toolkit 2.6.12-2
obs-studio 31.0.4-1
ocean-sound-theme 6.4.2-1
ocl-icd 2.3.3-1
odt2txt 0.5-6
okular 25.04.3-1
ollama 0.9.6-1
onedrive-abraunegg 2.5.6-3
onefetch 2.25.0-1
onetbb 2022.2.0-1
oniguruma 6.9.10-1
open-iscsi 2.1.11-1
open-isns 0.103-1
openal 1.24.3-1
openbsd-netcat 1.229_1-1
opencc 1.1.8-2
opencl-headers 2:2024.10.24-1
opencl-nvidia-535xx 535.247.01-1
opencolorio 2.4.2-1
openconnect 1:9.12-4
opencore-amr 0.1.6-2
opencv 4.12.0-1
opendoas 6.8.2-3
openexr 3.3.4-1
openfec 1.4.2.12-1
openh264 2.6.0-1
openjpeg2 2.5.3-1
openmpi 5.0.8-1
openpmix 5.0.8-1
openrgb 0.9-4
openslide 4.0.0-5
opensp 1.5.2-10
openssh 10.0p1-3
openssl 3.5.1-1
openssl-1.1 1.1.1.w-2
opentimelineio 0.17.0-2
openucx 1.18.1-3
openvpn 2.6.14-1
openvr 2.5.1-2
openxr 1.1.43-1
opera 120.0.5543.61-1
opus 1.5.2-1
opusfile 0.12-4
orc 0.4.41-1
os-prober 1.83-1
osinfo-db 20250606-1
otf-misans 4.003-2
otf-misans-arabic 4.003-2
otf-misans-devanagari 4.003-2
otf-misans-gujarati 4.003-2
otf-misans-gurmukhi 4.003-2
otf-misans-khmer 4.003-2
otf-misans-l3 4.003-2
otf-misans-lao 4.003-2
otf-misans-latin 4.003-2
otf-misans-myanmar 4.003-2
otf-misans-tc 4.003-2
otf-misans-thai 4.003-2
otf-misans-tibetan 4.003-2
p11-kit 0.25.5-1
p8-platform 2.1.0.1-5
pacman 7.0.0.r7.g1f38429-1
pacman-mirrorlist 20250702-2
pacman-static 7.0.0.r6.gc685ae6-52
pahole 1:1.30-2
pam 1.7.1-1
pam-u2f 1.4.0-1
pambase 20230918-2
pango 1:1.56.4-1
pangomm 2.46.4-1
papirus-icon-theme 20250501-1
parallel 20250622-1
parsec-bin 150_97c-1
parted 3.6-2
partitionmanager 25.04.3-1
paru 2.1.0-1
pass 1.7.4-7
passim 0.1.10-1
patch 2.8-1
pcaudiolib 1.3-1
pcem 17-6
pciutils 3.14.0-1
pcre 8.45-4
pcre2 10.45-1
pcsclite 2.3.3-1
peerbanhelper 7.4.15-1
perl 5.40.2-1
perl-archive-zip 1.68-10
perl-clone 0.47-1
perl-encode-locale 1.05-13
perl-error 0.17030-1
perl-file-listing 6.16-4
perl-html-parser 3.83-1
perl-html-tagset 3.24-2
perl-http-cookiejar 0.014-3
perl-http-cookies 6.11-2
perl-http-daemon 6.16-4
perl-http-date 6.06-3
perl-http-message 7.00-1
perl-http-negotiate 6.01-14
perl-image-exiftool 13.30-2
perl-io-html 1.004-6
perl-io-socket-ssl 2.094-1
perl-io-tty 1.20-2
perl-json 4.10-2
perl-libwww 6.79-1
perl-lwp-mediatypes 6.04-6
perl-lwp-protocol-https 6.14-2
perl-mailtools 2.22-1
perl-net-http 6.23-4
perl-net-ssleay 1.94-2
perl-timedate 2.33-7
perl-try-tiny 0.32-2
perl-uri 5.32-1
perl-www-robotrules 6.02-14
phodav 3.0-4
phonon-qt6 4.12.0-4
phonon-qt6-vlc 0.12.0-3
pigz 2.8-2
pinentry 1.3.1-5
pipewire 1:1.4.6-1
pipewire-alsa 1:1.4.6-1
pipewire-audio 1:1.4.6-1
pipewire-jack 1:1.4.6-1
pipewire-pulse 1:1.4.6-1
pipewire-roc 1:1.4.6-1
pipewire-v4l2 1:1.4.6-1
pixman 0.46.2-1
pjsk-cursors 0.0.1-1
pkcs11-helper 1.30.0-2
pkgconf 2.5.1-1
pkgfile 24-1
plasma-activities 6.4.2-1
plasma-activities-stats 6.4.2-1
plasma-browser-integration 6.4.2-1
plasma-desktop 6.4.2-1
plasma-disks 6.4.2-1
plasma-integration 6.4.2-1
plasma-nm 6.4.2-1
plasma-pa 6.4.2-1
plasma-sdk 6.4.2-1
plasma-systemmonitor 6.4.2-1
plasma-thunderbolt 6.4.2-1
plasma-vault 6.4.2-1
plasma-workspace 6.4.2-1
plasma5support 6.4.2-1
plasma6-applets-window-title 1:0.9.0-1
pnpm 10.13.1-1
polkit 126-2
polkit-kde-agent 6.4.2-1
polkit-qt5 0.200.0-1
polkit-qt6 0.200.0-1
poppler 25.07.0-1
poppler-data 0.4.12-2
poppler-glib 25.07.0-1
poppler-qt6 25.07.0-1
popt 1.19-2
portaudio 1:19.7.0-3
portmidi 1:2.0.6-1
portsmf 234-3
postgresql 17.5-2
postgresql-libs 17.5-2
postgresql-old-upgrade 16.9-1
potrace 1.16-3
power-profiles-daemon 0.30-1
powerdevil 6.4.2-1
poxml 25.04.3-1
ppp 2.5.2-1
print-manager 1:6.4.2-1
prismlauncher-git 8.0.r2469.g058717bcc-1
prison 6.16.0-1
procps-ng 4.0.5-3
projectm 3.1.12-5
protobuf 31.1-1
protobuf-c 1.5.2-4
protoc-gen-prost 0.3.1-1
prrte 3.0.11-1
psmisc 23.7-1
publicsuffix-list 20240306.1440.9094af5-1
pugixml 1.15-2
pulseaudio-qt 1.7.0-1
purewriter-desktop-bin 1.9.0-1
purpose 6.16.0-1
pyinstaller 6.14.2-1
pyinstaller-hooks-contrib 2025.5-1
pyright 1.1.403-1
pystring 1.1.4-2
python 3.13.5-1
python-aaf2 1.7.1-3
python-absl 2.3.1-1
python-aiofiles 24.1.0-2
python-aiogram 3.21.0-1
python-aiohappyeyeballs 2.6.1-1
python-aiohttp 3.12.14-1
python-aioquic 1.2.0-2
python-aiosignal 1.4.0-1
python-altgraph 0.17.4-1
python-annotated-types 0.7.0-2
python-anyio 4.9.0-1
python-appdirs 1.4.4-11
python-argcomplete 3.6.2-1
python-argon2-cffi 25.1.0-1
python-argon2-cffi-bindings 21.2.0-6
python-arrow 1.3.0-5
python-asgiref 3.8.1-2
python-astroid 3.3.10-1
python-asttokens 3.0.0-1
python-attrs 25.3.0-1
python-autocommand 2.2.2-7
python-babel 2.17.0-1
python-backrefs 5.9-1
python-base58 2.1.1-5
python-base91 1.0.1-2
python-bcrypt 4.3.0-1
python-beautifulsoup4 4.13.3-1
python-blinker 1.8.2-2
python-bottle 0.13.2-1
python-brotli 1.1.0-3
python-build 1.2.2-3
python-cachecontrol 1:0.14.3-1
python-cachetools 5.5.0-2
python-cachy 0.3.0-11
python-cairo 1.28.0-1
python-cairocffi 1.7.1-1
python-cairosvg 2.7.1-4
python-certifi 2025.07.09-1
python-cffi 1.17.1-2
python-chardet 5.2.0-6
python-charset-normalizer 3.4.2-1
python-cipheycore 0.3.2-2
python-cipheydists 0.3.35-2
python-cleo 1:2.1.0-1
python-click 8.1.8-1
python-colorama 0.4.6-5
python-configobj 5.0.9-5
python-contourpy 1.3.2-1
python-coverage 7.9.2-1
python-crashtest 0.4.1-4
python-cryptg 0.4-1
python-cryptography 45.0.5-1
python-cssselect 1.2.0-8
python-cssselect2 0.8.0-1
python-cycler 0.12.1-3
python-dasbus 1.7-4
python-dateutil 2.9.0-6
python-dbus 1.4.0-1
python-decorator 5.2.1-1
python-defusedxml 0.7.1-7
python-dill 0.3.9-1
python-distlib 0.3.9-2
python-distro 1.9.0-3
python-docopt 0.6.2-14
python-docutils 1:0.21.2-3
python-dotenv 1.1.1-1
python-dulwich 0.23.2-1
python-emoji 2.14.1-1
python-entrypoints 0.4-6
python-evdev 1.9.0-1
python-executing 2.2.0-1
python-faker 37.4.0-1
python-fastapi 0.116.1-1
python-fastbencode 0.3.2-1
python-fastimport 0.9.14-6
python-fastjsonschema 2.21.1-1
python-fastpbkdf2 0.2-13
python-fido2 1.2.0-1
python-filelock 3.18.0-1
python-findpython 0.7.0-1
python-flake8 1:7.2.0-2
python-flask 3.1.1-1
python-fonttools 4.58.5-1
python-fqdn 1.5.1-4
python-frozenlist 1.7.0-1
python-fsspec 2025.5.1-1
python-gbinder 1.1.2-5
python-ghp-import 2.1.0-5
python-glfw 2.9.0-1
python-gobject 3.52.3-3
python-gpgme 2.0.0-1
python-graphviz 0.21-1
python-greenlet 3.2.1-1
python-h11 0.16.0-1
python-h2 4.2.0-1
python-hf-xet 1.1.5-1
python-hiredis 3.2.1-2
python-hpack 4.1.0-1
python-html5lib 1.1-15
python-huggingface-hub 1:0.33.4-1
python-hyperframe 6.1.0-1
python-hypothesis 6.135.26-1
python-idna 3.10-2
python-imagesize 1.4.1-6
python-importlib-metadata 8.7.0-1
python-inflect 7.5.0-1
python-iniconfig 2.1.0-1
python-installer 0.7.0-10
python-ipython-pygments-lexers 1.1.1-1
python-isoduration 20.11.0-5
python-isort 6.0.1-1
python-itsdangerous 2.2.0-1
python-jaraco.classes 3.4.0-2
python-jaraco.collections 5.1.0-1
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
python-jedi 0.19.2-1
python-jeepney 0.9.0-1
python-jieba 0.42.1-8
python-jinja 1:3.1.6-1
python-jsonpointer 3.0.0-2
python-jsonschema 4.23.0-2
python-jsonschema-specifications 2024.10.1-1
python-kaitaistruct 0.10-7
python-keyring 25.6.0-1
python-kiwisolver 1.4.6-1
python-lark-parser 1.2.2-3
python-ldap3 2.9.1-8
python-legacy-cgi 2.6.3-2
python-lockfile 0.12.2-14
python-loguru 0.7.3-1
python-lxml 6.0.0-1
python-magic 1:0.4.27-5
python-magic-filter 1.0.12-4
python-markdown 3.8.2-1
python-markdown-it-py 3.0.0-4
python-markupsafe 3.0.2-1
python-matplotlib 3.10.3-1
python-matplotlib-inline 0.1.7-2
python-mccabe 0.7.0-8
python-mdurl 0.1.2-8
python-merge3 0.0.15-2
python-mergedeep 1.3.4-3
python-mitmproxy-rs 0.12.3-1
python-mock 5.2.0-1
python-more-itertools 10.7.0-1
python-msgpack 1.0.5-3
python-multidict 6.6.3-1
python-mutagen 1.47.0-3
python-mypy_extensions 1.0.0-5
python-notify2 0.3.1-11
python-numpy 2.3.1-1
python-objgraph 3.6.2-2
python-olefile 0.47-4
python-opencv 4.12.0-1
python-opengl 3.1.7-2
python-outcome 1.3.0.post0-5
python-packaging 25.0-1
python-paramiko 3.5.1-1
python-parso 1:0.8.4-3
python-passlib 1.7.4-10
python-pathspec 0.12.1-3
python-patiencediff 0.2.15-2
python-pbs-installer 2025.07.02-1
python-pexpect 4.9.0-4
python-pickleshare 0.7.5-11
python-pillow 11.3.0-1
python-pip 25.1.1-1
python-pkginfo 1.12.0-1
python-platformdirs 4.3.6-2
python-pluggy 1.6.0-1
python-poetry 2.1.2-1
python-poetry-core 2.1.3-1
python-poetry-plugin-export 1.9.0-1
python-prettytable 3.16.0-1
python-prompt_toolkit 3.0.51-1
python-propcache 0.3.2-1
python-proxy_tools 0.1.0-5
python-psutil 7.0.0-1
python-ptyprocess 0.7.0-8
python-publicsuffix2 2.20191221-9
python-pure-eval 0.2.3-2
python-pyaes 1.6.1-12
python-pyaml 24.12.0-1
python-pyasn1 0.6.0-2
python-pyasn1-modules 0.4.0-2
python-pyaudio 0.2.14-4
python-pybase62 1.0.0-1
python-pyclip 0.7.0-14
python-pycodestyle 2.12.1-2
python-pycparser 2.22-3
python-pycryptodomex 3.23.0-1
python-pycups 2.0.4-3
python-pycurl 7.45.6-1
python-pydantic 2.11.7-1
python-pydantic-core 2:2.33.2-2
python-pydantic-extra-types 2.10.4-1
python-pydantic-settings 2.10.1-1
python-pyflakes 3.3.2-1
