7zip 24.09-3
docbook-xsl 1.79.2-9
docker 1:28.3.2-1
docker-buildx 0.25.0-1
docker-compose 2.38.2-1
docker-credential-pass 0.9.3-1
docker-machine 0.16.2-6
doctl 1.133.0-1
dog 0.1.0-5
dolphin 25.04.3-1
dolphin-emu 1:2503-3
dolphin-plugins 25.04.3-1
dosbox 0.74.3-3
dosfstools 4.2-5
dotconf 1.4.1-1
dotnet-host 9.0.5.sdk106-1
dotnet-runtime-8.0 8.0.15.sdk115-1
double-conversion 3.3.1-1
dpdk 24.11.2-1
drkonqi 6.4.2-1
dtc 1.7.2-4
duf 0.8.1-3
duktape 2.7.0-7
dust 1.2.2-1
dvisvgm 3.5-2
e2fsprogs 1.47.3-1
easyeffects 7.2.4-1
ebook-tools 0.2.2-9
editorconfig-core-c 0.12.9-1
edk2-ovmf 202411-1
efibootmgr 18-3
efitools 1.9.2-5
efivar 39-1
egl-wayland 4:1.1.19-1
eglexternalplatform 1.2.1-1
electron 1:36-1
electron36 36.7.1-1
elfutils 0.193-2
elinks 0.18.0-1
elisa 25.04.3-3
ell 0.78-1
enchant 2.8.10-1
enet 1.3.18-1
erofs-utils 1.8.9-1
esbuild 0.25.6-1
eslint 9.31.0-1
espeak-ng 1.52.0-1
ethtool 1:6.11-1
evtest 1.35-2
exempi 2.6.6-1
exiv2 0.28.5-1
expac 10-11
expat 2.7.1-1
expect 5.45.4-5
extra-cmake-modules 6.16.0-1
eza 0.22.1-1
f2fs-tools 1.16.0-3
faac 1.31.1-1
faad2 2.11.2-1
fakeroot 1.37.1.2-1
fastfetch 2.47.0-1
fcitx5 5.1.14-1
fcitx5-anthy 5.1.7-1
fcitx5-configtool 5.1.9-1
fcitx5-gtk 5.1.4-1
fcitx5-lua 5.0.15-1
fcitx5-material-color 0.2.1-2
fcitx5-nord 0.0.0.20210727-2
fcitx5-qt 5.1.10-1
fcitx5-rime 5.1.11-1
fd 10.2.0-1
feh 3.10.3-1
ffcall 2.5-1
ffmpeg 2:7.1.1-4
ffmpeg4.4 4.4.6-1
ffmpegthumbnailer 2.2.3-3
ffmpegthumbs 25.04.3-1
ffms2 5.0-2
fftw 3.3.10-7
file 5.46-4
filelight 25.04.3-1
filesystem 2025.05.03-1
findutils 4.10.0-3
fio 3.39-1
firefox-nightly-zh-cn 142.0a1.20250712.11-1
firefoxpwa 2.14.1-1
flac 1.5.0-1
flashrom 1.5.1-2
flatpak-xdg-utils 1.0.6-1
flex 2.6.4-5
flite 2.2-2
fltk 1.3.11-1
fluidsynth 2.4.6-1
fmt 11.2.0-1
fontconfig 2:2.17.1-1
foomatic-db 3:20240209-1
foomatic-db-nonfree 3:20240209-1
foomatic-db-nonfree-ppds 3:20240209-1
foomatic-db-ppds 3:20240209-1
frameworkintegration 6.16.0-1
freeglut 3.6.0-2
freerdp 2:3.16.0-1
freerdp2 2.11.7-3
freetype2 2.13.3-3
frei0r-plugins 2.3.3-4
fribidi 1.0.16-2
frpc 0.63.0-1
fstrm 0.6.1-2
ftgl 2.4.0-3
fuse-common 3.17.1-1
fuse-emulator 1.6.0-3.2
fuse-overlayfs 1.15-1
fuse2 2.9.9-5
fuse3 3.17.1-1
fuseiso 20070708-9
fwupd 2.0.12-1
fwupd-efi 1.7-1
fzf 0.64.0-1
gamemode 1.8.2-1
gamescope 3.16.14-1
gavl 1.4.0-8
gawk 5.3.2-1
gc 8.2.8-2
gcc 14.2.1+r753+g1cd744a6828f-1
gcc-libs 14.2.1+r753+g1cd744a6828f-1
gcc14 14.3.1+r25+g42e99e057bd7-1
gcc14-libs 14.3.1+r25+g42e99e057bd7-1
gconf 3.2.6+11+g07808097-16
gcr 3.41.2-2
gcr-4 4.4.0.1-1
gd 2.3.3-8
gdb 16.3-1
gdb-common 16.3-1
gdbm 1.25-1
gdk-pixbuf2 2.42.12-2
gegl 0.4.62-1
geoclue 2.7.2-1
geoipupdate 7.1.0-1
gettext 0.25.1-1
gflags 2.2.2-5
gfxstream 0.1.2-2
gg 0.2.19-1
ghc-filesystem 1.5.14-2
ghidra 11.0.3-1
ghostscript 10.05.1-2
giflib 5.2.2-2
gimp 3.0.4-3
git 2.50.1-1
git-completion 2.2-1
git-credential-manager-bin 2.6.1-1
git-crypt 0.7.0-3
git-lfs 3.7.0-1
github-cli 2.75.0-1
gitoxide 0.44.0-1
gksu 2.0.2-6.2
glew 2.2.0-7
glew1.10 1.10.0-4
glfw 3.4-2
glhack 1.2-11
glib-networking 1:2.80.1-1
glib2 2.84.3-1
glibc 2.41+r48+g5cb575ca9a3d-1
glibmm 2.66.8-1
glibmm-2.68 2.84.0-1
glm 1.0.1-1
glmark2 2023.01-2
glow 2.1.1-1
glslang 1:1.4.313.0-1
glu 9.0.3-2
glusterfs 1:11.1-5
gmp 6.3.0-2
gnirehtet-bin 2.5.1-1
gnome-autoar 0.4.5-1
gnome-bluetooth 3.34.5+r16+g61cfff1c-2
gnome-calculator 48.1-2
gnome-desktop 1:44.3-1
gnome-desktop-4 1:44.3-1
gnome-desktop-common 1:44.3-1
gnome-keyring 1:48.0-1
gnome-music 1:48.0-1
gnome-terminal 3.56.2-1
gnome-video-effects 1:0.6.0-2
gnu-free-fonts 20120503-8
gnucash 5.11-4
gnulib-l10n 20241231-1
gnupg 2.4.8-1
gnuplot 6.0.3-1
gnustep-base 1.31.1-1
gnutls 3.8.10-1
go 2:1.24.5-1
go-musicfox-git 4.6.3.r1.g179b944-1
gobject-introspection-runtime 1.84.0-2
gocryptfs 2.5.4-1
gom 0.5.3-2
google-cloud-cli 529.0.0-2
google-glog 0.7.1-1
goreleaser 2.9.0-1
gpart 0.3-5
gparted 1.7.0-1
gperftools 2.16-1
gpgme 2.0.0-1
gpgmepp 2.0.0-2
gpm 1.20.7.r38.ge82d1a6-6
gradle 8.14.3-1
gradle-zsh-completion master_fa72b79-2
grantleetheme 25.04.3-1
graphene 1.10.8-2
graphicsmagick 1.3.45-4
graphite 1:1.3.14-5
graphviz 13.1.0-1
grep 3.12-2
grilo 0.3.19-1
grilo-plugins 1:0.3.18-1
groff 1.23.0-7
grub 2:2.12.r292.g73d1c959-1
grub-btrfs 4.13-2
gsettings-desktop-schemas 48.0-1
gsettings-system-schemas 48.0-1
gsfonts 20200910-5
gsl 2.8-1
gsm 1.0.22-2
gspell 1.14.0-2
gssdp 1.6.4-1
gst-libav 1.26.3-2
gst-plugin-pipewire 1:1.4.6-1
gst-plugins-bad 1.26.3-2
gst-plugins-bad-libs 1.26.3-2
gst-plugins-base 1.26.3-2
gst-plugins-base-libs 1.26.3-2
gst-plugins-good 1.26.3-2
gst-plugins-ugly 1.26.3-2
gstreamer 1.26.3-2
gtest 1.17.0-1
gtk-sharp-2 2.12.45-4
gtk-update-icon-cache 1:4.18.6-1
gtk-vnc 1.5.0-1
gtk2 2.24.33-5
gtk3 1:3.24.49-2
gtk4 1:4.18.6-1
gtk4-demos 1:4.18.6-1
gtkmm3 3.24.10-1
gtksourceview4 4.8.4-2
gtksourceview5 5.16.0-2
gts 0.7.6.121130-3
guile 3.0.10-1
gum 0.16.2-1
gupnp 1:1.6.9-1
gupnp-av 0.14.4-1
gupnp-dlna 0.12.0-4
gupnp-igd 1.6.0-2
gvfs 1.57.2-4
gvfs-afc 1.57.2-4
gvfs-goa 1.57.2-4
gvfs-google 1.57.2-4
gvfs-gphoto2 1.57.2-4
gvfs-mtp 1.57.2-4
gvfs-nfs 1.57.2-4
gvfs-smb 1.57.2-4
gwenhywfar 5.12.1-1
gwenview 25.04.3-1
gzip 1.14-2
hamlib 4.6.3-1
handbrake 1.9.2-3
handbrake-cli 1.9.2-3
harfbuzz 11.2.1-1
harfbuzz-icu 11.2.1-1
haveged 1.9.19-1
hdf5 1.14.6-5
hdparm 9.65-2
helvum 0.5.1-1
hexer 1.0.6-2
hexo-cli 4.3.2-1
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highlight 4.16-1
highway 1.2.0-1
hiredis 1.3.0-1
hmcl 3.6.14-1
hostapd 2.11-4
htop 3.4.1-1
hunspell 1.7.2-2
hwdata 0.397-1
hwloc 2.12.1-1
hyfetch 1.99.0-2
hyphen 2.8.8-6
i2c-tools 4.4-2
iana-etc 20250612-1
icoutils 0.32.3-3
icu 76.1-1
icu69-bin 69.1-1
id3lib 3.8.3-19
ijs 0.35-6
imagemagick 7.1.1.47-2
imath 3.1.12-4
imgcat 1.2.0-2
imlib2 1.12.5-1
inetutils 2.6-1
iniparser 4.2.6-2
inkscape 1.4.2-5
innoextract 1.9-13
inotify-tools 4.23.9.0-2
intel-gmmlib 22.7.2-1
intel-media-driver 25.2.5-1
iperf3 3.19-1
iproute2 6.15.0-1
ipscan 3.9.1-3
iptables 1:1.8.11-2
iputils 20250605-1
ipython 9.4.0-1
iso-codes 4.18.0-1
iw 6.9-1
jadx 1.5.1-1
jansson 2.14.1-1
jasper 4.2.5-1
java-environment-common 3-6
java-runtime-common 3-6
jbig2dec 0.20-1
jbigkit 2.1-8
jdk17-openjdk 17.0.15.u6-1
jdk8-graalvm-bin 21.2.0-2.1
jemalloc 1:5.3.0-5
jetbrains-toolbox 2.7.0.48109-1
jfsutils 1.1.15-9
jose 14-1
joyutils 1.8.1-3
jp2a 1.3.2-1
jq 1.8.1-1
json-c 0.18-2
json-glib 1.10.6-1
jsoncpp 1.9.6-3
kaccounts-integration 25.04.3-1
kaccounts-providers 25.04.3-1
kactivitymanagerd 6.4.2-1
karchive 6.16.0-1
kate 25.04.3-1
kauth 6.16.0-1
kauth5 5.116.0-1
kbd 2.8.0-1
kbookmarks 6.16.0-1
kcalendarcore 6.16.0-1
kcharselect 25.04.3-1
kclock 25.04.3-1
kcmutils 6.16.0-1
kcodecs 6.16.0-1
kcodecs5 5.116.0-1
kcolorchooser 25.04.3-1
kcolorpicker 0.3.1-4
kcolorscheme 6.16.0-1
kcompletion 6.16.0-1
kcompletion5 5.116.0-1
kconfig 6.16.0-1
kconfig5 5.116.0-1
kconfigwidgets 6.16.0-1
kconfigwidgets5 5.116.0-1
kcontacts 1:6.16.0-1
kcoreaddons 6.16.0-1
kcoreaddons5 5.116.0-1
kcrash 6.16.0-1
kcrash5 5.116.0-1
kcron 25.04.3-1
kdbusaddons 6.16.0-1
kdbusaddons5 5.116.0-1
kde-cli-tools 6.4.2-1
kde-dev-scripts 25.04.3-1
kde-gtk-config 6.4.2-1
kde-inotify-survey 25.04.3-1
kdeclarative 6.16.0-1
kdeconnect 25.04.3-1
kdecoration 6.4.2-1
kded 6.16.0-1
kdegraphics-mobipocket 25.04.3-1
kdegraphics-thumbnailers 25.04.3-1
kdenetwork-filesharing 25.04.3-1
kdenlive 25.04.3-1
kdeplasma-addons 6.4.2-1
kdesdk-kio 25.04.3-1
kdesdk-thumbnailers 25.04.3-1
kdesu 6.16.0-1
kdf 25.04.3-1
kdialog 25.04.3-1
kdiff3 1.12.3-1
kdiskmark 3.2.0-1
kdnssd 6.16.0-1
kdoctools 6.16.0-1
kdsoap-qt6 2.2.0-1
kdsoap-ws-discovery-client 0.4.0-1
keditbookmarks 25.04.3-1
kexec-tools 2.0.31-1
keyutils 1.6.3-3
kfilemetadata 6.16.0-1
kgamma 6.4.2-1
kglobalaccel 6.16.0-1
kglobalacceld 6.4.2-1
kgpg 25.04.3-1
kguiaddons 6.16.0-1
kguiaddons5 5.116.0-1
khefin 0.6.1-3
khelpcenter 25.04.3-1
kholidays 1:6.16.0-1
ki18n 6.16.0-1
ki18n5 5.116.0-1
kiconthemes 6.16.0-1
kid3 3.9.6-3
kid3-common 3.9.6-3
kidentitymanagement 25.04.3-1
kidletime 6.16.0-1
kimageannotator 0.7.1-3
kimageformats 6.16.0-1
kimageformats5 5.116.0-3
kinfocenter 6.4.2-1
kio 6.16.0-1
kio-admin 25.04.3-1
kio-extras 25.04.3-1
kio-fuse 5.1.0-5
kio-gdrive 25.04.3-1
kio-zeroconf 25.04.3-1
kirigami 6.16.0-1
kirigami-addons 1.9.0-1
kitemmodels 6.16.0-1
kitemviews 6.16.0-1
kitemviews5 5.116.0-1
kjobwidgets 6.16.0-1
kjournald 25.04.3-1
kleopatra 25.04.3-1
kmailtransport 25.04.3-1
kmbox 25.04.3-1
kmenuedit 6.4.2-1
kmime 25.04.3-1
kmod 34.2-1
knewstuff 6.16.0-1
knotifications 6.16.0-1
knotifications5 5.116.0-1
knotifyconfig 6.16.0-1
konsole 25.04.3-1
kotlin 2.2.0-1
kpackage 6.16.0-1
kparts 6.16.0-1
kpeople 6.16.0-1
kpimtextedit 25.04.3-1
kpipewire 6.4.2-1
kpmcore 25.04.3-1
kpty 6.16.0-1
kquickcharts 6.16.0-1
krb5 1.21.3-2
krecorder 25.04.3-1
krfb 25.04.3-1
krita 5.2.10-1
krunner 6.16.0-1
kscreen 6.4.2-1
kscreenlocker 6.4.2-1
kservice 6.16.0-1
kservice5 5.116.0-1
ksmtp 25.04.3-1
ksshaskpass 6.4.2-1
kstatusnotifieritem 6.16.0-1
ksvg 6.16.0-1
ksystemlog 25.04.3-1
ksystemstats 6.4.2-1
ktextaddons 1.6.0-1
ktexteditor 6.16.0-1
ktexttemplate 6.16.0-1
ktextwidgets 6.16.0-1
kunitconversion 6.16.0-1
kuserfeedback 6.16.0-1
kwallet 6.16.0-1
kwallet-pam 6.4.2-1
kwallet5 5.116.0-3
kwalletmanager 25.04.3-1
kwayland 6.4.2-1
kwayland-integration 6.4.2-1
kwayland5 5.116.0-1
kwidgetsaddons 6.16.0-1
kwidgetsaddons5 5.116.0-1
kwin 6.4.2-1
kwindowsystem 6.16.0-1
kwindowsystem5 5.116.0-1
kwrited 6.4.2-1
kxmlgui 6.16.0-1
l-smash 2.14.5-4
ladspa 1.17-5
lame 3.100-5
lapack 3.12.1-2
layer-shell-qt 6.4.2-1
lcms2 2.17-1
ldb 2:4.22.3-1
ldns 1.8.4-1
leancrypto 1.5.0-1
lensfun 1:0.3.4-5
less 1:668-1
leveldb 1.23-4
lf 35-1
lhasa 0.4.0-1
lib2geom 1.4-2
lib32-acl 2.3.2-1
lib32-alsa-lib 1.2.14-1
lib32-alsa-plugins 1.2.12-1
lib32-at-spi2-core 2.56.3-1
lib32-attr 2.5.2-1
lib32-audit 4.0.5-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-4
lib32-cairo 1.18.4-1
lib32-colord 1.4.8-1
lib32-curl 8.14.1-1
lib32-dbus 1.16.2-1
lib32-dbus-glib 0.114-1
lib32-e2fsprogs 1.47.3-1
lib32-expat 2.7.1-1
lib32-flac 1.5.0-1
lib32-fontconfig 2:2.17.1-1
lib32-freeglut 3.6.0-2
lib32-freetype2 2.13.3-3
lib32-fribidi 1.0.16-2
lib32-gamemode 1.8.2-1
lib32-gcc-libs 15.1.1+r7+gf36ec88aa85a-1
lib32-gdk-pixbuf2 2.42.12-2
lib32-gettext 0.25-1
lib32-giflib 5.2.2-1
lib32-glew 2.2.0-5
lib32-glew1.10 1.10.0-6
lib32-glib2 2.84.3-1
lib32-glibc 2.41+r48+g5cb575ca9a3d-1
lib32-glslang 15.1.0-1
lib32-glu 9.0.3-2
lib32-gmp 6.3.0-2
lib32-gnutls 3.8.9-1
lib32-gst-plugins-base-libs 1.26.3-1
lib32-gstreamer 1.26.3-1
lib32-gtk2 2.24.33-5
lib32-gtk3 1:3.24.49-1
lib32-harfbuzz 11.2.1-1
lib32-icu 76.1-1
lib32-imlib2 1.12.5-1
lib32-json-c 0.18-2
